LATITUDE,LONGITUDE,PLACA_VEICULO
-23.52314338,-46.68973527,FGH9134
-23.602007,-46.5341879,PXK7053
-23.53470291,-46.683187,FMF4680
-23.54891388,-46.68716809,FUX1005
-23.61404245,-46.50340759,PFQ7940
-23.57557867,-46.55012006,CAX4430
-23.53010343,-46.61692497,JFH0882
-23.54159099,-46.48695318,GCC4169
-23.54960553,-46.68000079,FEX8736
-23.51725015,-46.56163043,DTC1212
-23.4886172,-46.7199053,NZA5915
-23.52561778,-46.61427269,CJA7821
-23.54280865,-46.49716608,DGB2037
-23.57717691,-46.64069908,PWC6159
-23.54877548,-46.73260624,PUX9079
-23.60950769,-46.48506581,QPB2712
-23.53462962,-46.40800598,LCU2044
-23.6051531,-46.4853266,EMV1177
-23.51785117,-46.54347058,QPO6895
-23.51594124,-46.5342687,FZP7728
-23.557925,-46.56827057,EVT2485
-23.5285118,-46.5679691,GBN2125
-23.60253728,-46.58913154,FJZ4427
-23.49078603,-46.61706725,EUU1343
-23.61228753,-46.63852417,BGV3238
-23.5507984,-46.6984669,FLK9583
-23.5250417,-46.53203237,OWI6321
-23.708149,-46.6883953,FHF1915
-23.5166145,-46.69818287,AZD6706
-23.47732538,-46.61035405,GMN0183
-23.4270636,-46.79450646,ETS5099
-23.67388368,-46.77928105,DTY6915
-23.53809,-46.5772325,EQJ7008
-23.47863287,-46.61549455,FUC6795
-23.55400881,-46.64871137,QOH6960
-23.59367375,-46.53371069,GHN1330
-23.56382978,-46.4614149,GCY5338
-23.526362,-46.524783,GBY8523
-23.52606062,-46.69387916,OQK8538
-23.52742912,-46.52413519,PYM2196
-23.50231646,-46.4711655,FGY3369
-23.55502315,-46.46448909,FRC6232
-23.57967091,-46.62572498,FSW4463
-23.5295945,-46.728275,EVG7909
-23.6113214,-46.5986697,EBY6429
-23.5166523,-46.7470834,MIV4509
-23.5955943,-46.6328142,FRV2113
-23.5970565,-46.6045018,FSJ0864
-23.5554698,-46.5536719,FQS1575
-23.55008146,-46.52671627,FWX7412
-23.60731304,-46.4786954,BKG8031
-23.50776485,-46.74682211,GBF8854
-23.66984634,-46.65436345,EIA6142
-23.52228057,-46.57993648,FEX5039
-23.58481689,-46.53796559,FQJ9455
-23.48209263,-46.65233491,CEL3202
-23.5302777,-46.69691533,GBN8445
-23.49219069,-46.75621802,QOR0322
-23.57818249,-46.63760168,PUS4749
-23.52928258,-46.69680461,EXS9268
-23.48604381,-46.69933961,GHY8026
-23.54380983,-46.55162149,QMW2206
-23.56092316,-46.54332741,NYA1968
-23.68300422,-46.78171667,MOX2747
-23.51913441,-46.52416044,EJH6104
-23.55872354,-46.53069367,BIB6930
-23.5548356,-46.6945466,FRT1691
-23.60842015,-46.62618952,BGA2838
-23.5027886,-46.71434293,FTK6803
-23.58522299,-46.53841568,EGS6383
-23.5909213,-46.762756,DXX6102
-23.537501,-46.660111,FOC9800
-23.52294943,-46.38605535,CBH2162
-23.56426917,-46.51147926,FLK3497
-23.62419793,-46.76663613,BMV1486
-23.56046602,-46.67624556,QPO9772
-23.57870866,-46.57298275,OZK6754
-23.59984916,-46.68170866,DIP6370
-23.58057724,-46.57605608,FGG7153
-23.5546134,-46.52533149,EIY8909
-23.54013359,-46.56139005,PXP9815
-23.57722838,-46.51521651,GJK7489
-23.46984403,-46.57771117,FIO3080
-23.56726569,-46.42430702,CRM1596
-23.4772624,-46.5748814,EPP0923
-23.6256823,-46.4706673,FZN8080
-23.50775724,-46.61642476,FSU0222
-23.5359306,-46.7121721,EJH3081
-23.67495264,-46.68781006,EMR4446
-23.53177314,-46.64580317,EZE3349
-23.56663034,-46.74758537,EEL1590
-23.60356459,-46.50981735,FSA6991
-23.4890758,-46.70990627,FQU9143
-23.7370624,-46.69557665,CRE7395
-23.59979758,-46.53968162,GET3353
-23.60537792,-46.63305125,EJL8937
-23.5396635,-46.4478442,BMB2307
-23.64558927,-46.69819922,EZJ0189
-23.5699572,-46.5846213,GEZ9596
-23.50762428,-46.42302512,KPU8615
-23.5944727,-46.5444554,GCU9422
-23.4684982,-46.5849532,FHG2725
-23.55220566,-46.53535091,FAA3782
-23.5433166,-46.4516617,CTB0752
-23.5365915,-46.6370605,AQL1183
-23.48174227,-46.59017349,FDN6232
-23.53221107,-46.68783372,FAH9991
-23.4852115,-46.569159,FAN6558
-23.50170493,-46.37292426,EYC8567
-23.58628061,-46.58353163,AWG7009
-23.58628061,-46.58353163,AWG8550
-23.59461914,-46.75165465,BHO6411
-23.47675097,-46.75063123,EJA3197
-23.59118368,-46.49714841,DAD5768
-23.59964313,-46.61073744,GFA0464
-23.54759084,-46.75862153,EEL7437
-23.60682959,-46.48922871,ELP3318
-23.6036045,-46.4613211,FHW1496
-23.60980596,-46.47786336,EQI2428
-23.5365896,-46.6950597,FUD5377
-23.50169699,-46.74721529,PVE1236
-23.4896174,-46.7560578,FJY6377
-23.5821143,-46.5675249,FIO3198
-23.56559597,-46.44656542,BOA2113
-23.56559597,-46.44656542,CIE3295
-23.53405685,-46.69050451,FRZ2184
-23.48103004,-46.67318514,FQP7219
-23.5295838,-46.74324038,PUL3411
-23.48552748,-46.74294511,LUB3900
-23.521956,-46.5421669,PYD8340
-23.71049094,-46.70061515,EMI0265
-23.51586581,-46.58353626,KAE3716
-23.49095117,-46.61716298,FGG4383
-23.54484329,-46.68733771,EQT6376
-23.54107514,-46.44641624,OQD9477
-23.73867268,-46.69805701,ELS1922
-23.4887424,-46.60588031,ACS3384
-23.60152843,-46.58662369,EIF6302
-23.61120736,-46.45781144,EUZ3706
-23.59741023,-46.62823993,CTB0532
-23.50190474,-46.42363336,FPS6006
-23.53409,-46.5401,FAD5285
-23.53833639,-46.46775633,FYR9920
-23.5566206,-46.67462264,PZK5774
-23.48266978,-46.75443035,FIN2028
-23.509025,-46.4474329,CKO2475
-23.5499733,-46.549322,ELN3274
-23.5535496,-46.544394,DZA4448
-23.5010461,-46.43450502,CHE5988
-23.59494897,-46.60880909,AOX4515
-23.5951037,-46.486735,CJB9563
-23.47134294,-46.58625283,FEK6552
-23.5408102,-46.6410037,FMQ4010
-23.6596172,-46.6582405,EIP7739
-23.5605439,-46.4227901,EMX6827
-23.46580018,-46.5675992,CGX8835
-23.60488027,-46.43657043,FJS8908
-23.536986,-46.6610407,FRM1544
-23.53709201,-46.67653131,FFO2238
-23.5953194,-46.48608488,QOJ0405
-23.59983496,-46.64948098,FEF6567
-23.62326816,-46.46685235,PZJ2947
-23.4776294,-46.6008775,ETJ4869
-23.6142958,-46.5956782,FEY8676
-23.49620719,-46.62103057,PUV6718
-23.52201748,-46.65488744,FRU8236
-23.72756652,-46.69933836,JLX6251
-23.5612282,-46.59152635,FMA5634
-23.57713539,-46.55494873,HFK3386
-23.5312458,-46.56515386,GEN3798
-23.50787877,-46.68819823,EPL0527
-23.5226455,-46.7455441,GJZ1165
-23.61101619,-46.67803078,FBY1053
-23.58795563,-46.58361119,EGT0656
-23.44809528,-46.74859855,CMH2919
-23.59760709,-46.53031026,QOD3765
-23.59510582,-46.40097227,AXE5168
-23.50703452,-46.41023099,CCJ7751
-23.70672964,-46.7036571,FHH8902
-23.48646173,-46.69253073,MJV3189
-23.67830145,-46.68175799,FRU1141
-23.48908856,-46.69683411,EUH6266
-23.56319224,-46.53218026,FUW0274
-23.65718745,-46.78774797,CML9932
-23.58030733,-46.56094352,AYC6192
-23.599045,-46.610836,FOW4171
-23.4816019,-46.58260819,FLI7311
-23.47999544,-46.71424734,FSN5737
-23.5483624,-46.6793798,GFY5518
-23.61849846,-46.45960378,FGD5212
-23.50812199,-46.53464176,EUH7393
-23.612592,-46.4750064,EZM6159
-23.57418211,-46.56218247,FSJ1926
-23.54370506,-46.43266445,PUD7992
-23.54444249,-46.41321433,CMB6135
-23.49809856,-46.44622585,EZN1473
-23.54106283,-46.67360409,QNW7273
-23.62486025,-46.47125554,FCH4259
-23.47330328,-46.59998315,GJW6569
-23.50774736,-46.42166162,CYS5528
-23.54070281,-46.50222006,GIA5127
-23.48409595,-46.69872396,AGE9753
-23.56392835,-46.4741925,CDD2220
-23.584003,-46.633534,BAQ6532
-23.53021293,-46.54794642,DZT0437
-23.54593188,-46.54898078,PUP1052
-23.5989979,-46.60841926,HQD9302
-23.69989985,-46.7827066,BGP2785
-23.56168497,-46.56760643,EQK7374
-23.59540603,-46.54497602,HFP0028
-23.5357754,-46.66060602,FGX3367
-23.5316109,-46.6235688,DUC4307
-23.610253,-46.50637403,FAX1034
-23.59837128,-46.49592791,DQZ6780
-23.52933828,-46.5029018,PXR0493
-23.4553733,-46.7411865,OSC7335
-23.54060287,-46.56210892,PWL1226
-23.50369364,-46.4515861,FAX2787
-23.53051384,-46.61628771,CLQ2934
-23.5320577,-46.51645508,EZN0987
-23.59642286,-46.62738032,FSH3173
-23.6038046,-46.4808271,GSF7010
-23.56847908,-46.63367247,PWQ2332
-23.482313,-46.759017,FKT6894
-23.60931984,-46.55805752,DSC8292
-23.4921027,-46.60884985,FLG1400
-23.58981287,-46.50735867,EZS2054
-23.44104791,-46.71687921,CPL7911
-23.5778183,-46.5159536,PXM2701
-23.5315331,-46.7340867,FRB1834
-23.63155492,-46.63269212,EQZ4541
-23.55021913,-46.48738199,OWK8817
-23.6737778,-46.68546066,EQF1068
-23.61292482,-46.59440061,EME0189
-23.53143164,-46.54084947,CWB4438
-23.48579466,-46.43655782,FAC4437
-23.51376567,-46.58753731,FYL0662
-23.6059386,-46.47985353,KEQ8196
-23.5317952,-46.6874502,CJC8965
-23.5608966,-46.54073512,FMD3146
-23.5854622,-46.6017151,GBF2727
-23.48071122,-46.56939192,EIL5096
-23.54891405,-46.39010571,FLN6635
-23.4932212,-46.6151874,GHR6293
-23.59610004,-46.63259158,EYC3379
-23.58783186,-46.72596214,FHZ3972
-23.62380855,-46.46163263,QNY6568
-23.4775607,-46.5985262,EZR0567
-23.49904946,-46.42118419,GBL0816
-23.5246811,-46.54511,DIE8287
-23.46452507,-46.65595673,FRC9692
-23.43791237,-46.73348971,FIA3710
-23.55959698,-46.66707939,FIH9823
-23.52669031,-46.53493516,GBW7655
-23.55107506,-46.489687,FUQ0616
-23.551486,-46.74735435,KVL7380
-23.70512489,-46.64268864,BZE7095
-23.5738808,-46.6896953,FIB6672
-23.53475224,-46.56289234,FMA5071
-23.55785491,-46.51455069,CJM1567
-23.58123921,-46.60655991,CXY5988
-23.53565865,-46.69028208,ETL6713
-23.5375218,-46.5167222,FBD8549
-23.6373026,-46.6778716,ELL2572
-23.6124519,-46.4799941,EBC5862
-23.43802914,-46.73434315,CHF1848
-23.4999857,-46.698731,FSA9234
-23.64435057,-46.60582479,GYM0268
-23.58689415,-46.40224835,EJS4513
-23.51553363,-46.70307908,EKV1407
-23.54497047,-46.69473852,GEA9436
-23.5306072,-46.7436139,EVQ2508
-23.61443161,-46.62549178,DSN1548
-23.5128475,-46.7577013,EML1671
-23.5245352,-46.6868894,EEO1809
-23.6987563,-46.64376177,CKI0279
-23.53007792,-46.72503193,PZA6387
-23.5326445,-46.74156646,FPO7604
-23.73859307,-46.695648,MPK6249
-23.5272756,-46.5157484,GDY2798
-23.51966551,-46.7051636,ETP6995
-23.49144563,-46.61671194,FRM4430
-23.49374456,-46.44840942,FRY5057
-23.5354365,-46.70996786,EQJ2146
-23.4886983,-46.5929428,FHG3653
-23.46688845,-46.58484381,EWU4768
-23.5224972,-46.51333743,FKE1045
-23.56402175,-46.56097747,FNA7401
-23.53026266,-46.69813431,DUG4603
-23.75500076,-46.67571385,CGA9858
-23.59452265,-46.54792758,FFR4934
-23.47940881,-46.60906529,OFZ5888
-23.63291921,-46.75219808,CEK3164
-23.66192565,-46.65157315,FMN5657
-23.51583434,-46.58324651,FLX1907
-23.68153758,-46.77102149,CEY7242
-23.54779388,-46.56631058,ELQ5445
-23.632895,-46.6404296,CFY6797
-23.48649186,-46.67603231,BRP3848
-23.54250197,-46.60713759,CLC4363
-23.59407558,-46.52959401,CAW1967
-23.57145509,-46.63269067,QPJ0378
-23.56027974,-46.57789393,FGP1268
-23.59691766,-46.77552278,DMM5392
-23.49469446,-46.61714846,EMC9631
-23.54303384,-46.39901034,BKW3263
-23.67019957,-46.73266023,DNO6953
-23.5826682,-46.5791972,DXQ0507
-23.5460286,-46.48116966,AIB4482
-23.533153,-46.760539,CRC6326
-23.50818785,-46.57010727,CSI4757
-23.57752538,-46.57026165,DKN8968
-23.5255125,-46.6907089,EFN2704
-23.5060154,-46.5673736,CNG6662
-23.59838365,-46.739609,FGR6161
-23.5950566,-46.5858573,CRL9330
-23.51534791,-46.54273042,EIS5952
-23.6153549,-46.5071058,DZA0375
-23.53638826,-46.46632934,HEX4623
-23.53818606,-46.53293385,EGG4588
-23.546971,-46.7570901,CCV6311
-23.5462608,-46.7592678,FJS3273
-23.61137254,-46.48578392,DSP3847
-23.59858345,-46.48782699,EVD8625
-23.51124833,-46.3973038,EXS8075
-23.56129707,-46.60152198,GFE7437
-23.5921704,-46.6800666,QOI1116
-23.5286499,-46.6892113,FUS8013
-23.55301848,-46.69673851,FUS3855
-23.54778284,-46.41839591,MBS1210
-23.56868624,-46.51315559,EXI9522
-23.52516685,-46.48568599,DDO4654
-23.60765274,-46.53113819,DTV5379
-23.5488473,-46.58746629,BJH8006
-23.5640889,-46.4773925,FIS5219
-23.52539413,-46.51459165,AIF3037
-23.51821231,-46.46895639,EUL0498
-23.56800563,-46.50820142,EJC9499
-23.49877134,-46.41835739,EQZ5047
-23.533153,-46.760539,BOW0236
-23.50709002,-46.75634148,CLY7274
-23.51087425,-46.61009889,FUI3567
-23.5876551,-46.5157257,DDI1880
-23.48426897,-46.60845496,EMF6023
-23.53638611,-46.70712002,FPB0042
-23.63657082,-46.59983618,EFX2895
-23.53345603,-46.54419004,FMP0630
-23.57023745,-46.54414654,DZB6076
-23.48676109,-46.38218328,BKO5533
-23.6235676,-46.4648277,CAV2875
-23.5598748,-46.5926608,ERZ5806
-23.54873285,-46.58259574,CAR4176
-23.5178697,-46.7054188,BKI3998
-23.5306789,-46.6243198,DHO6268
-23.59215841,-46.48592872,BFD4254
-23.61365261,-46.50165344,CBN6794
-23.49386837,-46.38919018,BNN7330
-23.50999073,-46.68192485,QOE7934
-23.56759306,-46.58754232,DWO4708
-23.49445851,-46.58117622,BNF5092
-23.44697682,-46.74394352,EBI9454
-23.6242545,-46.5879055,EML4123
-23.53088461,-46.50242756,BOP1107
-23.5388909,-46.4704538,EKK7804
-23.53988866,-46.52944338,EMP6847
-23.57202747,-46.62259681,DVR1348
-23.61312018,-46.6353315,EUD3799
-23.5555733,-46.5219502,FAS6855
-23.67420435,-46.78795828,BPE7075
-23.515726,-46.7133673,EBF2068
-23.60229883,-46.46062178,CCQ2551
-23.4597243,-46.6069933,EBY5698
-23.65791417,-46.75452229,CCP5093
-23.86860972,-46.6781754,GCV1395
-23.58331708,-46.57380235,FWE1335
-23.48918574,-46.5698086,FEY7386
-23.61089993,-46.48642694,AEF0028
-23.56875651,-46.54058423,DRU9887
-23.5483264,-46.5690442,FAJ5092
-23.54861063,-46.56503391,FXP3184
-23.54586454,-46.58495131,DZC2904
-23.59680919,-46.54944433,OQC6965
-23.4936259,-46.66026524,EVE8427
-23.5694177,-46.6385462,OQF5051
-23.54125536,-46.55475196,EJA9023
-23.61276755,-46.53102015,FEQ3332
-23.5616783,-46.5796778,FOA6209
-23.57047877,-46.5636401,FKI1178
-23.52054254,-46.5424914,FMX9095
-23.55998607,-46.5579405,GBY7179
-23.58252499,-46.47077728,COM8015
-23.58082116,-46.55865606,QOK7917
-23.57690357,-46.56705042,FVW6316
-23.58169603,-46.59302052,FTX5657
-23.55590429,-46.42330021,FFT2161
-23.58305956,-46.63502255,QNU3618
-23.62092356,-46.76093584,BFA7886
-23.6022886,-46.4356249,BPY2461
-23.65160345,-46.60150225,BQK6470
-23.48364337,-46.46100016,CKY0634
-23.70926098,-46.69133906,EWM5345
-23.55895414,-46.53462848,GSC8216
-23.56750844,-46.57283704,QPD8988
-23.56066,-46.48219075,ETP0789
-23.5229021,-46.38611597,LHO2280
-23.56507322,-46.55000785,PZM4041
-23.6096077,-46.6127079,EIQ3797
-23.5401092,-46.5620669,PWU5045
-23.5475217,-46.4862778,FIX8110
-23.5407755,-46.5115988,FPQ4704
-23.5614164,-46.5778622,DXP6350
-23.56092231,-46.53631522,QOE3248
-23.55237159,-46.54221963,EBM9549
-23.57815726,-46.603117,GHV7715
-23.50326197,-46.47341734,FDZ9778
-23.614891,-46.500771,FLT6454
-23.54002673,-46.70479297,ALF4579
-23.7262849,-46.7008721,CDC1140
-23.5707355,-46.4694298,PUH8856
-23.6314734,-46.74957254,CHF1448
-23.5166215,-46.7056912,ENS1937
-23.54509143,-46.57150698,EMD9485
-23.44312098,-46.73621936,FDC6227
-23.58846148,-46.48473066,DSX6670
-23.50803559,-46.53451368,GHZ6687
-23.57864897,-46.56396266,FQE0233
-23.50787592,-46.43875601,CRH1148
-23.6236649,-46.6353797,COV9787
-23.58067634,-46.63253751,QNV1367
-23.5264075,-46.52123466,FAC4052
-23.5841777,-46.5385449,FOY5775
-23.54086361,-46.70041307,CML1340
-23.6318952,-46.6382419,FGP5476
-23.4571891,-46.73650245,FJW8208
-23.49053666,-46.58510988,GEG0988
-23.59121342,-46.52441597,BRC8507
-23.62295372,-46.46366568,FDS6606
-23.55572281,-46.59992013,QPR0646
-23.49411691,-46.74352594,QNQ7314
-23.6189606,-46.4957334,DWQ8924
-23.5995203,-46.5771999,EGE2785
-23.49767248,-46.61122765,EUA7625
-23.67816922,-46.64743302,FJT1885
-23.4653962,-46.7526796,EJC6283
-23.7448989,-46.694049,DBU6269
-23.57280042,-46.53183856,ATY4044
-23.57029183,-46.63812187,FVS8165
-23.55313878,-46.56386155,FWA9154
-23.53195571,-46.51650364,FZI6604
-23.55132391,-46.55676698,FDA5243
-23.666054,-46.6434284,DUF4697
-23.54193188,-46.43331616,ELW9962
-23.64681382,-46.59937663,EZG0578
-23.55812583,-46.60642396,FRT0267
-23.538671,-46.6581255,FFE1453
-23.5224591,-46.5274885,EVB1399
-23.56573564,-46.55054676,FGE6840
-23.5455579,-46.4155018,BJR8266
-23.49268518,-46.72240517,EYE0603
-23.5772661,-46.50359255,BFA7772
-23.5362226,-46.56485025,GBC2688
-23.63200853,-46.77610203,BSU0914
-23.60670752,-46.48940459,QNZ7723
-23.52938352,-46.60549066,GEU4885
-23.52068179,-46.42316103,CMJ2545
-23.60131298,-46.51201842,AOY4180
-23.66623602,-46.71683322,CTR0226
-23.47244749,-46.58389822,EFB3947
-23.54450958,-46.55674336,FKE3757
-23.5779965,-46.7397654,DBF1001
-23.5021277,-46.48275261,EFQ6493
-23.50571231,-46.54055164,EQY4457
-23.51856303,-46.70097791,CGA0590
-23.51658822,-46.72591282,EZD2914
-23.58200286,-46.58399564,HJK3064
-23.56810073,-46.53994565,PZH1128
-23.58420384,-46.79096959,FKE6370
-23.57151358,-46.47320315,EQN0433
-23.53668702,-46.59954469,FSP8968
-23.6287282,-46.728622,CLA8726
-23.48600513,-46.60594788,FRX5163
-23.51167924,-46.46614616,API6295
-23.42865853,-46.79409248,FRY8257
-23.57156202,-46.62385884,FOR6186
-23.57528427,-46.52198624,EUY1637
-23.52212071,-46.40571567,PYA7324
-23.53401799,-46.69016209,OBM0891
-23.52309894,-46.52156135,FTK6315
-23.53429505,-46.54064162,BOX7360
-23.6025966,-46.49704721,FGJ5193
-23.43170596,-46.79467512,FAJ3374
-23.63793,-46.6687747,DPL8025
-23.57581815,-46.62494343,FVG0064
-23.59654221,-46.53123577,FIA7554
-23.61765985,-46.63682525,PXC4810
-23.58289601,-46.55973108,GFJ4872
-23.58983074,-46.73793502,CKI0972
-23.52749538,-46.50406466,PWL4967
-23.59747804,-46.71543587,DNS8896
-23.408395,-46.7544347,EUV5717
-23.66548353,-46.68720718,DUR1134
-23.53345603,-46.54419004,EJE8157
-23.6078254,-46.48293733,FGB3583
-23.5956401,-46.4402904,CJB1569
-23.59880058,-46.62801668,EWO2541
